Time,Theta_deg,Theta_dot,Sin_theta,Cos_theta,Control
1.35,-1.21119060705453,0.00799330975860357,-0.0211376901715994,0.999776601791382,-0.126437964451849
1.36,-1.21674344969581,0.00296401116065681,-0.0212345831096172,0.999774515628815,-0.310126216047443
1.37,-1.22350639748612,-0.00053407542873174,-0.0213525909930468,0.999771952629089,0.0593801245488708
1.38,-1.2200340342157,-0.000135270733153448,-0.0212920010089874,0.999773263931274,0.0158819229534475
1.39,-1.22714787599615,-0.00384523160755634,-0.0214161332696676,0.999770641326904,0.068868298359446
1.4,-1.22734320506205,-0.00301952287554741,-0.0214195419102907,0.99977058172226,-0.026491258614946
1.41,-1.23265828688548,-0.00315693905577064,-0.0215122867375612,0.999768614768982,0.0391211623809504
1.42,-1.23538255006214,-0.00198454409837723,-0.0215598233044147,0.999767601490021,0.0077284153324155
1.43,-1.25055356222018,-0.00551050528883934,-0.0218245442956686,0.999761819839478,0.0174874354632328
1.44,-1.2657115575941,-0.00907322857528925,-0.0220890380442142,0.999756038188934,4.8291362283766e-37
1.45,-1.28413731846269,-0.0136614749208093,-0.0224105473607779,0.999748826026917,-3.55723634234355
1.46,-1.32076389943343,-0.00558462552726269,-0.0230496376752853,0.999734342098236,0.602775222988024
1.47,-1.3213778077507,0.0103700682520866,-0.0230603497475386,0.999734103679657,-0.551776175736781
1.48,-1.30625215602333,0.0250745192170143,-0.0227964259684086,0.999740123748779,0.849695405214316
1.49,-1.27606979474129,0.0342997200787067,-0.0222697779536247,0.99975198507309,0.793684452480696
1.5,-1.24322468647256,0.0345803201198578,-0.0216966606676579,0.999764561653137,0.07718320800877
1.51,-1.22386785440571,0.0286691542714834,-0.0213588997721672,0.999771893024445,0.220962675195563
1.52,-1.2119313444485,0.0212092269212008,-0.0211506150662899,0.999776303768158,0.911682950529202
1.53,-1.20397298311126,0.0101749151945114,-0.0210117474198341,0.999779284000397,-0.500216347613096
1.54,-1.21270910601683,-0.00117418565787375,-0.0211641862988472,0.999776005744934,-0.937600437562595
1.55,-1.23064403271415,-0.00624347198754549,-0.0214771386235952,0.999769330024719,0.059670231666074
1.56,-1.27920812531771,-0.0255714114755392,-0.022324537858367,0.999750733375549,-0.347138425839348
1.57,-1.27472176278821,-0.0182348284870386,-0.0222462564706802,0.999752521514893,-0.878375007889923
1.58,-1.29212421083027,-0.0154073871672153,-0.0225499104708433,0.999745726585388,0.827514654271786
1.59,-1.28195991455363,-0.00575489224866033,-0.022372554987669,0.999749720096588,-1.32086206200694
1.6,-1.28875715651607,0.00222446746192873,-0.0224911589175463,0.999747037887573,-0.544540371112262
1.61,-1.29875773573377,0.0102349771186709,-0.0226656589657068,0.999743163585663,-0.532549186581807
